STATION,NAME,DATE,PRCP,SNOW,SNWD
USW00014765,"PROVIDENCE, RI US",1/1/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/3/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/4/20,0.14,0,0
USW00014765,"PROVIDENCE, RI US",1/5/20,0.08,0,0
USW00014765,"PROVIDENCE, RI US",1/6/20,0,0.1,0
USW00014765,"PROVIDENCE, RI US",1/7/20,0.05,0.5,0
USW00014765,"PROVIDENCE, RI US",1/8/20,0.01,0.1,0
USW00014765,"PROVIDENCE, RI US",1/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/10/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/11/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/12/20,0.14,0,0
USW00014765,"PROVIDENCE, RI US",1/13/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/14/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",1/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/16/20,0.07,0,0
USW00014765,"PROVIDENCE, RI US",1/17/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/18/20,0.34,2.9,0
USW00014765,"PROVIDENCE, RI US",1/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/20/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/23/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/24/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/25/20,0.42,0,0
USW00014765,"PROVIDENCE, RI US",1/26/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/27/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/28/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/29/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/30/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/31/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/1/20,0.06,0,0
USW00014765,"PROVIDENCE, RI US",2/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/3/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/4/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/5/20,0.11,0,0
USW00014765,"PROVIDENCE, RI US",2/6/20,0.39,0,0
USW00014765,"PROVIDENCE, RI US",2/7/20,0.36,0,0
USW00014765,"PROVIDENCE, RI US",2/8/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/10/20,0.09,0,0
USW00014765,"PROVIDENCE, RI US",2/11/20,0.38,0,0
USW00014765,"PROVIDENCE, RI US",2/12/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/13/20,0.79,0,0
USW00014765,"PROVIDENCE, RI US",2/14/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/16/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/17/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/18/20,0.09,0,0
USW00014765,"PROVIDENCE, RI US",2/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/20/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/23/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/24/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/25/20,0.05,0,0
USW00014765,"PROVIDENCE, RI US",2/26/20,0.04,0,0
USW00014765,"PROVIDENCE, RI US",2/27/20,0.85,0,0
USW00014765,"PROVIDENCE, RI US",2/28/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/29/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/1/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/3/20,0.25,0,0
USW00014765,"PROVIDENCE, RI US",3/4/20,0.05,0,0
USW00014765,"PROVIDENCE, RI US",3/5/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/6/20,0.09,0.1,0
USW00014765,"PROVIDENCE, RI US",3/7/20,0.02,0,0
USW00014765,"PROVIDENCE, RI US",3/8/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/10/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/11/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/12/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/13/20,0.33,0,0
USW00014765,"PROVIDENCE, RI US",3/14/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/16/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/17/20,0.23,0.1,0
USW00014765,"PROVIDENCE, RI US",3/18/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/19/20,0.89,0,0
USW00014765,"PROVIDENCE, RI US",3/20/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",3/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/23/20,1.73,0,0
USW00014765,"PROVIDENCE, RI US",3/24/20,0.04,0.2,0
USW00014765,"PROVIDENCE, RI US",3/25/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",3/26/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/27/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/28/20,0.42,0,0
USW00014765,"PROVIDENCE, RI US",3/29/20,0.81,0,0
USW00014765,"PROVIDENCE, RI US",3/30/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",3/31/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",4/1/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/2/20,0.05,0,0
USW00014765,"PROVIDENCE, RI US",4/3/20,0.38,0,0
USW00014765,"PROVIDENCE, RI US",4/4/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/5/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/6/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/7/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/8/20,0.04,0,0
USW00014765,"PROVIDENCE, RI US",4/9/20,0.69,0,0
USW00014765,"PROVIDENCE, RI US",4/10/20,0.22,0,0
USW00014765,"PROVIDENCE, RI US",4/11/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/12/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/13/20,1.52,0,0
USW00014765,"PROVIDENCE, RI US",4/14/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/15/20,0.06,0,0
USW00014765,"PROVIDENCE, RI US",4/16/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/17/20,0.13,0,0
USW00014765,"PROVIDENCE, RI US",4/18/20,0.62,1.2,1.2
USW00014765,"PROVIDENCE, RI US",4/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/20/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/21/20,0.38,0,0
USW00014765,"PROVIDENCE, RI US",4/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/23/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/24/20,0.46,0,0
USW00014765,"PROVIDENCE, RI US",4/25/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/26/20,0.43,0,0
USW00014765,"PROVIDENCE, RI US",4/27/20,0.16,0,0
USW00014765,"PROVIDENCE, RI US",4/28/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/29/20,0,0,0
USW00014765,"PROVIDENCE, RI US",4/30/20,0.31,0,0
USW00014765,"PROVIDENCE, RI US",5/1/20,1.24,0,0
USW00014765,"PROVIDENCE, RI US",5/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/3/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/4/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/5/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/6/20,0.26,0,0
USW00014765,"PROVIDENCE, RI US",5/7/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/8/20,0.49,0,0
USW00014765,"PROVIDENCE, RI US",5/9/20,0.07,0,0
USW00014765,"PROVIDENCE, RI US",5/10/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/11/20,0.06,0,0
USW00014765,"PROVIDENCE, RI US",5/12/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/13/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/14/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",5/15/20,0.33,0,0
USW00014765,"PROVIDENCE, RI US",5/16/20,0.1,0,0
USW00014765,"PROVIDENCE, RI US",5/17/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/18/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/20/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/23/20,0.33,0,0
USW00014765,"PROVIDENCE, RI US",5/24/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/25/20,0.03,0,0
USW00014765,"PROVIDENCE, RI US",5/26/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/27/20,0,0,0
USW00014765,"PROVIDENCE, RI US",5/28/20,0.03,0,0
USW00014765,"PROVIDENCE, RI US",5/29/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",5/30/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",5/31/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/1/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/3/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",6/4/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/5/20,0.1,0,0
USW00014765,"PROVIDENCE, RI US",6/6/20,0.41,0,0
USW00014765,"PROVIDENCE, RI US",6/7/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/8/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/10/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/11/20,0.82,0,0
USW00014765,"PROVIDENCE, RI US",6/12/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/13/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/14/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/16/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/17/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/18/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/20/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/23/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/24/20,0.11,0,0
USW00014765,"PROVIDENCE, RI US",6/25/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/26/20,0.72,0,0
USW00014765,"PROVIDENCE, RI US",6/27/20,0.39,0,0
USW00014765,"PROVIDENCE, RI US",6/28/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/29/20,0,0,0
USW00014765,"PROVIDENCE, RI US",6/30/20,0.05,0,0
USW00014765,"PROVIDENCE, RI US",7/1/20,0.07,0,0
USW00014765,"PROVIDENCE, RI US",7/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/3/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/4/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/5/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/6/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/7/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/8/20,0.03,0,0
USW00014765,"PROVIDENCE, RI US",7/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/10/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/11/20,0.02,0,0
USW00014765,"PROVIDENCE, RI US",7/12/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/13/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/14/20,0.82,0,0
USW00014765,"PROVIDENCE, RI US",7/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/16/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/17/20,0.14,0,0
USW00014765,"PROVIDENCE, RI US",7/18/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/20/20,0.02,0,0
USW00014765,"PROVIDENCE, RI US",7/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/22/20,0.06,0,0
USW00014765,"PROVIDENCE, RI US",7/23/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/24/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/25/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/26/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/27/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/28/20,0.45,0,0
USW00014765,"PROVIDENCE, RI US",7/29/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/30/20,0,0,0
USW00014765,"PROVIDENCE, RI US",7/31/20,0.06,0,0
USW00014765,"PROVIDENCE, RI US",8/1/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/3/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/4/20,0.19,0,0
USW00014765,"PROVIDENCE, RI US",8/5/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/6/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/7/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/8/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/10/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/11/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/12/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",8/13/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/14/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/16/20,0.36,0,0
USW00014765,"PROVIDENCE, RI US",8/17/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",8/18/20,0.13,0,0
USW00014765,"PROVIDENCE, RI US",8/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/20/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/22/20,0.38,0,0
USW00014765,"PROVIDENCE, RI US",8/23/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/24/20,0.46,0,0
USW00014765,"PROVIDENCE, RI US",8/25/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/26/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/27/20,0.1,0,0
USW00014765,"PROVIDENCE, RI US",8/28/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/29/20,0.07,0,0
USW00014765,"PROVIDENCE, RI US",8/30/20,0,0,0
USW00014765,"PROVIDENCE, RI US",8/31/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/1/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/2/20,0.42,0,0
USW00014765,"PROVIDENCE, RI US",9/3/20,0.02,0,0
USW00014765,"PROVIDENCE, RI US",9/4/20,0.1,0,0
USW00014765,"PROVIDENCE, RI US",9/5/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/6/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/7/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/8/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/10/20,0.03,0,0
USW00014765,"PROVIDENCE, RI US",9/11/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/12/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/13/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/14/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/16/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/17/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/18/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/20/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/23/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/24/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/25/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/26/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/27/20,0.04,0,0
USW00014765,"PROVIDENCE, RI US",9/28/20,0.05,0,0
USW00014765,"PROVIDENCE, RI US",9/29/20,0,0,0
USW00014765,"PROVIDENCE, RI US",9/30/20,0.54,0,0
USW00014765,"PROVIDENCE, RI US",10/1/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/3/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/4/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/5/20,0.27,0,0
USW00014765,"PROVIDENCE, RI US",10/6/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/7/20,0.07,0,0
USW00014765,"PROVIDENCE, RI US",10/8/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/10/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/11/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/12/20,0.05,0,0
USW00014765,"PROVIDENCE, RI US",10/13/20,1.11,0,0
USW00014765,"PROVIDENCE, RI US",10/14/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/16/20,0.69,0,0
USW00014765,"PROVIDENCE, RI US",10/17/20,1.23,0,0
USW00014765,"PROVIDENCE, RI US",10/18/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/20/20,0.26,0,0
USW00014765,"PROVIDENCE, RI US",10/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/23/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/24/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/25/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/26/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/27/20,0,0,0
USW00014765,"PROVIDENCE, RI US",10/28/20,0.2,0,0
USW00014765,"PROVIDENCE, RI US",10/29/20,1.33,0,0
USW00014765,"PROVIDENCE, RI US",10/30/20,0.46,1.6,0
USW00014765,"PROVIDENCE, RI US",10/31/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/1/20,0.73,0,0
USW00014765,"PROVIDENCE, RI US",11/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/3/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/4/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/5/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/6/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/7/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/8/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/10/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/11/20,0.03,0,0
USW00014765,"PROVIDENCE, RI US",11/12/20,0.06,0,0
USW00014765,"PROVIDENCE, RI US",11/13/20,0.22,0,0
USW00014765,"PROVIDENCE, RI US",11/14/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/15/20,0.42,0,0
USW00014765,"PROVIDENCE, RI US",11/16/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",11/17/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/18/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/20/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/23/20,1.37,0,0
USW00014765,"PROVIDENCE, RI US",11/24/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/25/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/26/20,0.4,0,0
USW00014765,"PROVIDENCE, RI US",11/27/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/28/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/29/20,0,0,0
USW00014765,"PROVIDENCE, RI US",11/30/20,2.74,0,0
USW00014765,"PROVIDENCE, RI US",12/1/20,0.71,0,0
USW00014765,"PROVIDENCE, RI US",12/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/3/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/4/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",12/5/20,2.65,0.5,0
USW00014765,"PROVIDENCE, RI US",12/6/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/7/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/8/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/10/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/11/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/12/20,0.52,0,0
USW00014765,"PROVIDENCE, RI US",12/13/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/14/20,0.12,0,0
USW00014765,"PROVIDENCE, RI US",12/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/16/20,0.13,1.5,0
USW00014765,"PROVIDENCE, RI US",12/17/20,0.74,6.4,5.1
USW00014765,"PROVIDENCE, RI US",12/18/20,0,0,7.1
USW00014765,"PROVIDENCE, RI US",12/19/20,0,0,7.1
USW00014765,"PROVIDENCE, RI US",12/20/20,0.02,0,5.1
USW00014765,"PROVIDENCE, RI US",12/21/20,0,0,3.9
USW00014765,"PROVIDENCE, RI US",12/22/20,0,0,3.9
USW00014765,"PROVIDENCE, RI US",12/23/20,0,0,2
USW00014765,"PROVIDENCE, RI US",12/24/20,0,0,1.2
USW00014765,"PROVIDENCE, RI US",12/25/20,2.95,0,0
USW00014765,"PROVIDENCE, RI US",12/26/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/27/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/28/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/29/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/30/20,0,0,0
USW00014765,"PROVIDENCE, RI US",12/31/20,0.23,0,0